class,itemset,support
cyberbullying,ass,0.061295090731830044
cyberbullying,bitch,0.05569707834072397
cyberbullying,black,0.05868478158316822
cyberbullying,call,0.08563700978079693
cyberbullying,dont,0.08881341007013241
cyberbullying,get,0.07937855772557159
cyberbullying,go,0.053778658363996604
cyberbullying,im,0.08956819825769727
cyberbullying,islam,0.05233198100449728
cyberbullying,know,0.055099537692235113
cyberbullying,like,0.12960342170645028
cyberbullying,make,0.06403119791175269
cyberbullying,one,0.0806365380381797
cyberbullying,peopl,0.09966349026637733
cyberbullying,right,0.0501934144730635
cyberbullying,rt,0.08230336195238544
cyberbullying,say,0.06576092084158883
cyberbullying,think,0.05343271377802938
cyberbullying,white,0.05069660659810674
cyberbullying,"idiot, muslim",0.0712331352014341
cyberbullying,"dumb, nigger, fuck",0.11630027990061956
cyberbullying,"rape, joke, gay",0.08610875239802497
cyberbullying,"bulli, high, girl, school",0.08868761203887159
not_cyberbullying,bulli,0.14254247954688484
not_cyberbullying,im,0.05286343612334802
not_cyberbullying,like,0.05144745122718691
not_cyberbullying,mkr,0.2001258653241032
not_cyberbullying,rt,0.09628697293895531
